Nenê;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;
Anderson Lopes;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;
Jorge;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;
Douglas Baggio;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;
Júlio Baptista;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;
Gabriel Vasconcelos;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;
Fabiano;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;
Nenén;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;
Nicolás Freitas;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;
Leandro Damião;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;
Ítalo;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;
Dorival Júnior;Santos;Santos;Santos;Santos;Santos;Santos;Santos;Santos;Santos;Santos;Santos;Santos;Santos;Santos;Santos;Santos;Santos;Santos;Santos;Santos;Santos;Santos;Santos;Santos;Santos;Santos;Santos;
Igor Julião;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;
Willian;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;
Ravanelli;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;
Diego Aguirre;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;
Elton;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;
Fernando Medeiros;Santos;Santos;Santos;Santos;Santos;Santos;Santos;Santos;Santos;Santos;Santos;
Guilherme Batata;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Outros;Outros;
Agenor;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;
Rafael Marques;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;
Vagner Love;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;
